t,W,Q,H,S,A,P
19 days,289.1733625,1827.4627500000001,266.5397875,0.00018812789377129258,1242.04925,
19 days,323.6355125,1837.2026250000004,265.6744125,0.00013438096285632548,1454.6376249999998,
20 days,259.6664666666667,1708.4975555555557,268.0193555555556,0.00017800139695272758,1317.818111111111,
20 days,262.1348,1711.0544285714284,267.12498571428574,0.00017078907318873577,1305.6252857142858,
20 days,286.92143749999997,1714.0118749999997,266.1900375,0.00020974927928714578,1158.04275,
20 days,315.6074625,1718.5928750000003,265.1795875,0.0001623092483752253,1322.787,
21 days,259.6535555555556,1719.23,268.0157999999999,0.00018074326690803143,1316.9024444444444,
21 days,261.98472857142855,1719.0981428571429,267.10441428571426,0.0001747090744185465,1300.3478571428568,
21 days,286.6181125,1718.9080000000001,266.13895,0.00021881278937713473,1145.90975,
21 days,312.70761250000004,1718.9411250000003,265.064675,0.00017569952225415805,1292.305875,
22 days,259.09687777777776,1637.3525555555555,267.8749666666666,0.00018008281648083523,1280.3566666666668,
22 days,261.05755714285715,1641.8565714285712,266.9673142857143,0.00017391482580333828,1265.220857142857,
22 days,285.78341250000005,1646.04575,265.9957875,0.00022213243644622182,1111.6232499999999,
22 days,309.5102125,1650.9662500000002,264.8864,0.00018344675214124827,1245.2512500000003,
23 days,257.98535555555554,1489.8225555555555,267.59941111111107,0.0001805631440642517,1209.0765555555556,
23 days,256.7167285714286,1493.1481428571428,266.6931285714286,0.00017242881226525142,1195.2281428571428,
23 days,284.0612375,1496.251625,265.7161875,0.00022560496199877804,1044.8903375,
23 days,305.0382375,1500.091125,264.5638625,0.00019181567331558123,1160.5433750000002,
24 days,257.1363,1384.3986666666667,267.3929222222222,0.00018142373098453145,1155.877288888889,
24 days,255.342,1385.4817142857141,266.4861142857143,0.00017135273349627893,1142.6278571428572,
24 days,282.725375,1386.5216249999999,265.5044125,0.0002285096531842448,994.6256500000001,
24 days,302.52621250000004,1387.851875,264.314725,0.00019956290320265784,1095.421225,
25 days,256.4536222222222,1299.429,267.22745555555554,0.00018142373098453145,1113.3721333333333,
25 days,254.14532857142856,1300.2605714285714,266.3247571428572,0.0001693543014967773,1101.7823,
25 days,281.675925,1301.1702500000001,265.3461375,0.00022885908971782113,957.1721500000001,
25 days,300.88077499999997,1302.5347499999998,264.1393875,0.0002028865604690418,1049.7669500000002,
26 days,255.84508888888888,1239.5232222222223,267.1051777777777,0.00018178397667209094,1082.0320555555556,
26 days,253.2056857142857,1239.9462857142858,266.2028571428571,0.0001686112947277266,1071.0304,
26 days,280.792125,1240.6055,265.22011249999997,0.00023145802393639925,927.4983375,
26 days,289.84765,1241.967875,263.98355,0.0002008780193872046,1009.7225125,
27 days,254.96347777777777,1170.8432222222223,266.9660222222222,0.00018140371733522763,1046.4708999999998,
27 days,252.17204285714288,1171.8137142857142,266.06822857142856,0.00016679220918971795,1037.1581285714285,
27 days,279.64624999999995,1172.9696250000002,265.0889375,0.0002315890626364997,896.6655125,
27 days,288.1015,1174.7537499999999,263.8349,0.00020305393889252712,972.6868749999999,
28 days,254.01952222222224,1110.4863333333335,266.8408888888889,0.00018106348529697196,1014.6119000000001,
28 days,251.14110000000002,1112.0895714285714,265.9480142857143,0.00016487063995942344,1007.0025428571429,
28 days,278.6267875,1113.8452499999999,264.97338750000006,0.00023139250458635523,869.6142125,
28 days,285.9782375,1116.329375,263.7041375,0.00020551679283810817,940.269225,
29 days,252.9974888888889,1063.415111111111,266.73901111111115,0.0001810034443490378,988.7720111111113,
29 days,250.07819999999998,1065.1258571428573,265.8502142857143,0.00016328214272905072,982.560057142857,
29 days,277.9027125,1066.924,264.8784,0.0002316545819865437,847.4461375,
29 days,283.9057375,1069.417,263.59365,0.00020814702520720172,912.9779500000001,
30 days,251.73815555555555,1006.233777777778,266.61372222222224,0.00018068322596010865,957.137788888889,
30 days,248.81608571428572,1008.8701428571428,265.73144285714284,0.00016110436426802698,952.9836142857142,
30 days,277.0039,1011.444,264.76378750000003,0.00023204769808683263,820.7667,
30 days,279.363825,1014.725125,263.4606625,0.00021123157044001197,880.295875,
31 days,251.0346,977.5798333333335,266.5460777777778,0.00018116355354351373,940.1298999999999,
31 days,248.1078,979.3561714285714,265.66458571428575,0.00016041259934513377,936.3931714285715,
31 days,276.26725,981.0824375,264.6967375,0.00023298680877085475,805.2128624999999,
31 days,270.8076375,983.1870250000001,263.37818749999997,0.00021369442438559305,860.136125,
32 days,250.4895,959.8861111111112,266.5062555555556,0.00018098343069973397,930.1374555555556,
32 days,247.70884285714288,962.0779857142858,265.62677142857143,0.00015977207626836893,927.0186857142855,
32 days,275.80738749999995,964.0571000000001,264.66012500000005,0.0002331178474709552,796.7309499999999,
32 days,269.8002875,966.3023250000001,263.3362625,0.0002144834940963211,849.9307625,
33 days,249.92377777777781,944.4615555555554,266.46478888888885,0.00018190405856794792,919.7639333333332,
33 days,247.20195714285714,944.6640571428571,265.5830142857143,0.00015954148796073301,916.1948714285714,
33 days,275.1407375,944.8998125,264.6144625,0.00023412247750502136,786.1785625,
33 days,268.41353749999996,945.2447625,263.278825,0.0002161572783311877,835.9916499999999,
34 days,248.9823111111111,913.6605888888888,266.39612222222223,0.0001812436081407517,902.6286888888889,
34 days,245.6145857142857,916.0936285714286,265.5212571428571,0.00015736370949972383,900.9762428571429,
34 days,274.265525,918.3567250000001,264.559375,0.0002334454442211877,773.4595499999999,
34 days,266.6240250000001,921.1262375,263.223225,0.00021572687667079305,822.5644249999999,
35 days,248.1097888888889,893.5706222222224,266.3427222222222,0.00018208418141172765,889.3431999999999,
35 days,243.66994285714284,895.0874,265.4670142857143,0.00015664632365375186,887.7030571428571,
35 days,273.09049999999996,896.4254374999998,264.50422499999996,0.00023471215165545475,760.7848875000001,
35 days,264.1415375,897.9770125,263.1470125,0.00022003089327472602,804.255925,
36 days,241.6503,846.7844,266.20551111111104,0.00018258452264444791,855.9209666666667,
36 days,241.55941428571433,848.2155857142858,265.3519857142857,0.00015431481965432845,859.802342857143,
36 days,270.33775,849.7527125,264.3946875,0.0002349960688389995,735.7350875,
36 days,251.497425,852.0206375,263.01488750000004,0.00022230245759348615,772.89715,
37 days,241.74205555555557,848.8482666666667,266.21018888888887,0.0001827046045402935,857.050611111111,
37 days,241.6270142857143,850.1495857142856,265.35562857142855,0.00015446854519274268,860.6734,
37 days,270.3888625,851.392675,264.39675,0.00023545470428933243,736.2104499999999,
37 days,251.4647125,852.9168,263.0134875,0.00022280459286394205,772.5768999999999,
38 days,240.54897777777776,827.6965555555556,266.15746666666666,0.0001819240722172517,844.3230666666666,
38 days,240.73222857142855,830.2975428571428,265.3077428571429,0.00015346932919300642,849.1324285714284,
38 days,269.16706250000004,832.6604500000001,264.35175,0.000235389184939276,725.9752500000001,
38 days,249.95196250000004,835.4573750000001,262.96052499999996,0.00022089169659551532,760.3740875,
39 days,238.86563333333334,802.9098666666666,266.08477777777784,0.00018238438615135298,826.9084333333333,
39 days,239.36207142857143,803.8053428571428,265.2351,0.00015298253165465584,831.6838999999999,
39 days,266.1290125,804.6418375,264.28114999999997,0.00023558574298942046,710.0078625000001,
39 days,247.55864999999997,805.5926999999999,262.8719875,0.0002228763264740033,740.2509625,
40 days,238.27351111111113,793.6243333333333,266.05934444444443,0.00018220426330757325,820.8405,
40 days,238.9292285714286,794.5693714285715,265.2111428571429,0.0001527519433470199,825.9544857142857,
40 days,265.1998875,795.4531875,264.25902499999995,0.00023536734515593213,705.0268625,
40 days,246.58245,796.4450375,262.846275,0.0002233784617444728,734.435,
41 days,238.27351111111113,793.6243333333333,266.05934444444443,0.00018220426330757325,820.8405,
41 days,238.9292285714286,794.5693714285715,265.2111428571429,0.0001527519433470199,825.9544857142857,
41 days,265.1998875,795.4531875,264.25902499999995,0.00023536734515593213,705.0268625,
41 days,246.58245,796.4450375,262.846275,0.0002233784617444728,734.435,
42 days,237.95057777777777,787.6401888888889,266.04560000000004,0.000181663894776234,817.5623222222224,
42 days,238.72647142857144,789.6130714285713,265.2,0.00015226514580866932,823.2931285714287,
42 days,264.8231,791.3089625000001,264.250125,0.00023497422905565562,703.0282,
42 days,246.1640625,793.0293750000002,262.838125,0.00022323499452433671,732.588675,
43 days,236.69226666666665,769.1830111111111,265.9904222222222,0.00018190405856794792,804.4767111111111,
43 days,237.73971428571426,769.9741571428573,265.1453428571428,0.00015190645288568332,810.2726571428573,
43 days,262.650175,770.6801999999999,264.19838749999997,0.0002346466323053983,691.4475375,
43 days,243.063675,771.4214125000001,262.775525,0.0002249087787592033,718.4858375000001,
44 days,236.67189999999997,769.0308111111111,265.98946666666666,0.0001820241404637935,804.2527222222222,
44 days,237.72018571428572,769.6748428571428,265.1442714285714,0.00015198331565489045,810.0135,
